timestamp,task_type,pid,arrival_time,completion_time,response_time,scheduler_used,action_taken,system_cpu_load,memory_available
08:52:34.242730,memory,54952,1775100153.990741,251.65081024169922,251.65176391601562,FCFS,NORMAL,7.1,0.8152923583984375
08:52:34.337219,cpu,54952,1775100154.0149596,322.0076560974121,322.0083713531494,FCFS,NORMAL,11.3,0.8564834594726562
08:52:34.460214,memory,54952,1775100154.0239048,435.8978271484375,435.8987808227539,FCFS,NORMAL,21.3,0.811767578125
08:52:34.518431,cpu,54952,1775100154.0249467,493.29137802124023,493.29209327697754,FCFS,NORMAL,21.4,0.8737602233886719
08:52:34.673335,memory,54952,1775100154.026301,646.8322277069092,646.8329429626465,FCFS,NORMAL,7.7,0.8745803833007812
08:52:35.300577,cpu,54952,1775100154.8807852,419.58141326904297,419.5823669433594,FCFS,NORMAL,24.2,0.7359619140625
08:52:35.301443,memory,54952,1775100154.8755999,425.6882667541504,425.6889820098877,FCFS,NORMAL,27.6,0.7359619140625
08:52:35.395630,io,54952,1775100154.9577239,437.7107620239258,437.71862983703613,FCFS,NORMAL,33.8,0.788665771484375
08:52:35.403790,memory,54952,1775100154.9350414,468.57380867004395,468.57452392578125,FCFS,NORMAL,37.5,0.7943382263183594
08:52:35.439986,io,54952,1775100155.128034,311.7663860321045,311.77306175231934,FCFS,NORMAL,25.3,0.8607749938964844
08:52:35.492480,cpu,54952,1775100154.9363527,555.9329986572266,555.9334754943848,FCFS,NORMAL,26.2,0.8621139526367188
08:52:35.612499,memory,54952,1775100155.1211154,491.18900299072266,491.18971824645996,FCFS,NORMAL,11.4,0.8168907165527344
08:52:35.905429,memory,54952,1775100155.1234171,781.7940711975098,781.7947864532471,FCFS,NORMAL,27.8,0.7709541320800781
08:52:36.123604,cpu,54952,1775100155.1268616,996.5720176696777,996.572732925415,FCFS,NORMAL,24.1,0.7559471130371094
08:52:36.124368,cpu,54952,1775100155.128651,995.600700378418,995.6016540527344,FCFS,NORMAL,24.1,0.752410888671875
08:52:36.315683,cpu,54952,1775100155.663312,652.1809101104736,652.1816253662109,FCFS,NORMAL,26.6,0.735809326171875
08:52:36.319435,memory,54952,1775100155.5640619,755.1925182342529,755.1934719085693,FCFS,NORMAL,27.4,0.7274589538574219
08:52:36.417988,io,54952,1775100155.758837,658.9429378509521,658.9508056640625,FCFS,NORMAL,28.6,0.7926177978515625
08:52:36.475452,io,54952,1775100155.910144,565.0138854980469,565.0200843811035,FCFS,NORMAL,23.7,0.783203125
08:52:36.526463,cpu,54952,1775100155.9090266,617.323637008667,617.3245906829834,FCFS,NORMAL,24.6,0.7522354125976562
08:52:36.505340,memory,54952,1775100155.742917,762.2008323669434,762.2013092041016,FCFS,NORMAL,24.4,0.7522354125976562
08:52:36.512169,io,54952,1775100156.1492379,362.75386810302734,362.7598285675049,FCFS,NORMAL,25.2,0.814178466796875
08:52:36.837844,memory,54952,1775100156.1322892,704.6313285827637,704.6322822570801,FCFS,NORMAL,24.0,0.728546142578125
08:52:37.076836,io,54952,1775100156.5910091,485.6386184692383,485.6455326080322,FCFS,NORMAL,26.8,0.7528076171875
08:52:37.033663,cpu,54952,1775100156.1367521,896.730899810791,896.7313766479492,FCFS,NORMAL,23.6,0.7585105895996094
08:52:37.247793,memory,54952,1775100156.1413393,1106.2891483306885,1106.290340423584,FCFS,NORMAL,19.9,0.7463264465332031
08:52:37.480393,memory,54952,1775100156.1439524,1336.2681865692139,1336.268663406372,FCFS,NORMAL,25.6,0.7402839660644531
08:52:37.710698,cpu,54952,1775100156.1479611,1562.5715255737305,1562.5722408294678,FCFS,NORMAL,22.4,0.7408790588378906
08:52:37.482780,io,54952,1775100156.8438969,638.7207508087158,638.7286186218262,FCFS,NORMAL,25.5,0.7408790588378906
08:52:37.974779,io,54952,1775100157.249297,725.2957820892334,725.3012657165527,FCFS,NORMAL,30.2,0.7017288208007812
08:52:38.043077,io,54952,1775100157.503874,539.0186309814453,539.0267372131348,FCFS,NORMAL,23.3,0.7017402648925781
08:52:37.966770,io,54952,1775100157.0718637,894.7925567626953,894.7997093200684,FCFS,NORMAL,31.7,0.7065925598144531
08:52:38.025894,memory,54952,1775100156.7796192,1246.0737228393555,1246.0746765136719,FCFS,NORMAL,24.7,0.7157707214355469
08:52:38.295997,io,54952,1775100157.4824152,813.3976459503174,813.4045600891113,FCFS,NORMAL,32.2,0.7201080322265625
08:52:38.488038,memory,54952,1775100156.8033862,1684.450626373291,1684.4515800476074,FCFS,NORMAL,27.7,0.7113227844238281
08:52:38.677966,memory,54952,1775100156.827528,1850.2051830291748,1850.2063751220703,FCFS,NORMAL,28.5,0.7655258178710938
08:52:38.886473,cpu,54952,1775100157.0671616,1819.120168685913,1819.1206455230713,FCFS,NORMAL,34.5,0.8018798828125
08:52:38.948222,io,54952,1775100158.0424979,905.4896831512451,905.4975509643555,FCFS,NORMAL,37.9,0.8010978698730469
08:52:39.043398,cpu,54952,1775100157.0784526,1964.7674560546875,1964.7679328918457,FCFS,NORMAL,26.1,0.7742843627929688
08:52:39.045799,io,54952,1775100158.295545,750.0896453857422,750.0965595245361,FCFS,NORMAL,24.7,0.7741546630859375
08:52:39.109801,io,54952,1775100158.5124533,597.1558094024658,597.1622467041016,FCFS,NORMAL,21.8,0.7740249633789062
08:52:39.051209,cpu,54952,1775100157.4322565,1618.847370147705,1618.8480854034424,FCFS,NORMAL,23.6,0.7757759094238281
08:52:39.052106,io,54952,1775100158.503504,548.457145690918,548.4638214111328,FCFS,NORMAL,23.6,0.7757835388183594
08:52:39.461365,memory,54952,1775100157.4794,1981.8143844604492,1981.816053390503,FCFS,NORMAL,27.3,0.6797637939453125
08:52:39.740948,io,54952,1775100159.0987313,642.0557498931885,642.0652866363525,FCFS,NORMAL,33.2,0.6878547668457031
08:52:39.733768,memory,54952,1775100157.947058,1786.5188121795654,1786.5195274353027,FCFS,NORMAL,33.3,0.6903076171875
08:52:39.939752,cpu,54952,1775100157.9773133,1962.2647762298584,1962.2652530670166,FCFS,NORMAL,47.8,0.6941986083984375
08:52:40.181203,cpu,54952,1775100157.9867725,2194.242238998413,2194.2429542541504,FCFS,NORMAL,39.7,0.6795463562011719
08:52:40.190925,io,54952,1775100159.2945426,896.1753845214844,896.181583404541,FCFS,NORMAL,39.9,0.6809959411621094
08:52:40.182709,memory,54952,1775100157.982625,2199.9335289001465,2199.9337673187256,FCFS,NORMAL,37.9,0.631317138671875
08:52:40.195406,cpu,54952,1775100157.9851346,2210.120677947998,2210.1213932037354,FCFS,NORMAL,35.0,0.6820106506347656
08:52:40.451178,io,54952,1775100159.2970183,1153.9545059204102,1153.958797454834,FCFS,NORMAL,35.1,0.6832695007324219
08:52:40.452863,memory,54952,1775100157.9872723,2465.4884338378906,2465.488910675049,FCFS,NORMAL,32.5,0.6855812072753906
08:52:40.452179,cpu,54952,1775100158.0370839,2414.93821144104,2414.9396419525146,FCFS,NORMAL,37.4,0.7512741088867188
08:52:40.476400,io,54952,1775100159.7476563,728.5764217376709,728.5861968994141,FCFS,NORMAL,38.9,0.7513656616210938
08:52:40.544166,memory,54952,1775100158.04014,2503.8464069366455,2503.847360610962,FCFS,NORMAL,40.8,0.7368240356445312
08:52:40.551003,io,54952,1775100159.9818914,568.9361095428467,568.9442157745361,FCFS,NORMAL,38.1,0.8011054992675781
08:52:40.631185,io,54952,1775100160.27752,353.47795486450195,353.4858226776123,FCFS,NORMAL,31.7,0.787994384765625
08:52:40.717422,memory,54952,1775100158.0823667,2634.9093914031982,2634.9105834960938,FCFS,NORMAL,22.4,0.7727737426757812
08:52:40.945027,memory,54952,1775100158.2911367,2653.6736488342285,2653.674364089966,FCFS,NORMAL,31.6,0.7291526794433594
08:52:41.013948,cpu,54952,1775100158.3086634,2705.1243782043457,2705.125331878662,FCFS,NORMAL,30.9,0.7883262634277344
08:52:41.410889,cpu,54952,1775100158.8654392,2545.287609100342,2545.2890396118164,FCFS,NORMAL,32.9,0.666046142578125
08:52:41.409237,memory,54952,1775100158.7002854,2708.747386932373,2708.7485790252686,FCFS,NORMAL,31.6,0.6678314208984375
08:52:41.641751,memory,54952,1775100158.9375846,2703.9332389831543,2703.9337158203125,FCFS,NORMAL,23.4,0.6904335021972656
08:52:41.853836,io,54952,1775100161.0003965,853.1801700592041,853.1889915466309,FCFS,NORMAL,23.7,0.7531356811523438
08:52:41.931250,memory,54952,1775100158.943946,2987.1010780334473,2987.102270126343,FCFS,NORMAL,22.1,0.7559089660644531
